"Org","Date","Name","ID","File"
"JGL","2019-06-24","Admiral Byrd","AdmB","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/AdmB_2019-06-24.xlsx"
"JGL","2019-07-03","Crockett Farm","CrcF","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/CrcF_2019-07-03.xlsx"
"JGL","2016-02-02","Keystone House","KysH","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/KysH_2016-02-02.xlsx"
"JGL","2019-06-18","Keystone House","KysH","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/KysH_2019-06-18.xlsx"
"JGL","2016-02-02","Lockwood Stark","LckS","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/LckS_2016-02-02.xlsx"
"JGL","2019-06-18","Long Point Manor","LnPM","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/LnPM_2019-06-18.xlsx"
"JGL","2019-07-01","Rosehip Farm","RshF","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/RshF_2019-07-01.xlsx"
"JGL","2019-06-18","Transit Center","TrnC","/Users/giojacuzzi/../../Volumes/SAFS Backup/PHI Project Data/JGL/Data/TrnC_2019-06-18.xlsx"
