"Name","Population","HA_FICON","HA_ISO","HA_WHO","HA_FAANES","HA_Yokoshima","HSD_WHO","HSD_Smith"
"Island","85,938","4936 (5.7)","8844 (10.3)","16735 (19.5)","19362 (22.5)","28790 (33.5)","6973 (8.1)","8233 (9.6)"
"Skagit","128,228","196 (0.2)","560 (0.4)","2033 (1.6)","1125 (0.9)","4676 (3.6)","394 (0.3)","431 (0.3)"
"Samish","40,853","91 (0.2)","261 (0.6)","947 (2.3)","551 (1.3)","2177 (5.3)","200 (0.5)","219 (0.5)"
"Swinomish","3,207","36 (1.1)","107 (3.3)","358 (11.2)","241 (7.5)","799 (24.9)","85 (2.7)","93 (2.9)"
"Jefferson","32,590","0 (0)","1 (0)","5 (0)","0 (0)","14 (0)","2 (0)","2 (0)"
"San.Juan","17,631","0 (0)","1 (0)","4 (0)","0 (0)","10 (0.1)","0 (0)","0 (0)"
"Total","264,387","5132","9406","18777","20487","33490","7369","8666"
