"Name","Population","Exposed","Annoyance","SleepDisturbance","HearingImpairment","IncompatibleLandUse"
"Samish","40,853","4169 (10.2)","4169 (10.2)","973 (2.4)","0 (0)","0 (0)"
"Swinomish","3,207","1538 (48)","1538 (48)","371 (11.6)","0 (0)","0 (0)"
"Island","85,938","52498 (61.1)","52498 (61.1)","28720 (33.4)","5796 (6.7)","9621 (11.2)"
"Skagit","128,228","9087 (7.1)","9087 (7.1)","1688 (1.3)","0 (0)","0 (0)"
"Jefferson","32,590","25 (0.1)","25 (0.1)","0 (0)","0 (0)","0 (0)"
"San.Juan","17,631","8 (0)","8 (0)","0 (0)","0 (0)","0 (0)"
"Total","264,387","61618","61618","30408","5796","9621"
