"Name","Population","Exposed","Annoyance","SleepDisturbance","HearingImpairment","IncompatibleLandUse"
"Samish","40,853","8924 (21.8)","8924 (21.8)","2227 (5.5)","0 (0)","0 (0)"
"Swinomish","3,207","2798 (87.2)","2798 (87.2)","1092 (34.1)","0 (0)","0 (0)"
"Island","85,938","57639 (67.1)","57639 (67.1)","39465 (45.9)","8492 (9.9)","13132 (15.3)"
"Skagit","128,228","18756 (14.6)","18756 (14.6)","5113 (4)","0 (0)","0 (0)"
"Jefferson","32,590","108 (0.3)","108 (0.3)","46 (0.1)","0 (0)","0 (0)"
"San.Juan","17,631","76 (0.4)","76 (0.4)","0 (0)","0 (0)","0 (0)"
"Snohomish","820,024","62 (0)","62 (0)","0 (0)","0 (0)","0 (0)"
"Total","1,084,411","76641","76641","44624","8492","13132"
