"Name","Population","HA_FICON","HA_ISO","HA_WHO","HA_FAANES","HA_Yokoshima","HSD_WHO","HSD_Smith"
"Island","85,938","6055 (7)","10359 (12.1)","18958 (22.1)","23571 (27.4)","31821 (37)","8314 (9.7)","9813 (11.4)"
"Skagit","128,228","310 (0.2)","915 (0.7)","3085 (2.4)","1856 (1.4)","6897 (5.4)","672 (0.5)","742 (0.6)"
"Samish","40,853","146 (0.4)","430 (1.1)","1458 (3.6)","867 (2.1)","3268 (8)","299 (0.7)","331 (0.8)"
"Swinomish","3,207","54 (1.7)","163 (5.1)","504 (15.7)","376 (11.7)","1089 (34)","144 (4.5)","160 (5)"
"Jefferson","32,590","1 (0)","3 (0)","13 (0)","1 (0)","34 (0.1)","6 (0)","6 (0)"
"San.Juan","17,631","1 (0)","2 (0)","9 (0.1)","0 (0)","23 (0.1)","0 (0)","0 (0)"
"Snohomish","820,024","1 (0)","1 (0)","6 (0)","0 (0)","17 (0)","0 (0)","0 (0)"
"Total","1,084,411","6368","11280","22071","25428","38792","8992","10561"
