"Name","Population","Exposed","Annoyance","SleepDisturbance","HearingImpairment","IncompatibleLandUse"
"Samish","40,853","9075 (22.2)","9075 (22.2)","2301 (5.6)","0 (0)","0 (0)"
"Swinomish","3,207","2799 (87.3)","2799 (87.3)","1135 (35.4)","0 (0)","0 (0)"
"Island","85,938","57777 (67.2)","57777 (67.2)","40221 (46.8)","8575 (10)","13335 (15.5)"
"Skagit","128,228","19026 (14.8)","19026 (14.8)","5377 (4.2)","0 (0)","0 (0)"
"Jefferson","32,590","130 (0.4)","130 (0.4)","37 (0.1)","0 (0)","0 (0)"
"Snohomish","820,024","96 (0)","96 (0)","0 (0)","0 (0)","0 (0)"
"San.Juan","17,631","82 (0.5)","82 (0.5)","0 (0)","0 (0)","0 (0)"
"Total","1,084,411","77111","77111","45635","8575","13335"
