"Name","Population","HA_FICON","HA_ISO","HA_WHO","HA_FAANES","HA_Yokoshima","HSD_WHO","HSD_Smith"
"Island","85,938","6159 (7.2)","10494 (12.2)","19143 (22.3)","23861 (27.8)","32060 (37.3)","8456 (9.8)","9978 (11.6)"
"Skagit","128,228","320 (0.2)","948 (0.7)","3166 (2.5)","1942 (1.5)","7048 (5.5)","709 (0.6)","782 (0.6)"
"Samish","40,853","150 (0.4)","446 (1.1)","1498 (3.7)","905 (2.2)","3345 (8.2)","311 (0.8)","344 (0.8)"
"Swinomish","3,207","55 (1.7)","167 (5.2)","511 (15.9)","387 (12.1)","1100 (34.3)","151 (4.7)","167 (5.2)"
"Jefferson","32,590","1 (0)","3 (0)","16 (0)","2 (0)","40 (0.1)","5 (0)","5 (0)"
"San.Juan","17,631","1 (0)","2 (0)","10 (0.1)","0 (0)","25 (0.1)","0 (0)","0 (0)"
"Snohomish","820,024","1 (0)","1 (0)","9 (0)","0 (0)","26 (0)","0 (0)","0 (0)"
"Total","1,084,411","6482","11448","22344","25805","39199","9170","10765"
