"Name","Population","Exposed","Annoyance","SleepDisturbance","HearingImpairment","IncompatibleLandUse"
"Samish","40,853","6190 (15.2)","6190 (15.2)","1584 (3.9)","0 (0)","0 (0)"
"Swinomish","3,207","2166 (67.5)","2166 (67.5)","679 (21.2)","0 (0)","0 (0)"
"Island","85,938","55144 (64.2)","55144 (64.2)","32951 (38.3)","7155 (8.3)","11141 (13)"
"Skagit","128,228","13311 (10.4)","13311 (10.4)","3138 (2.4)","0 (0)","0 (0)"
"Jefferson","32,590","47 (0.1)","47 (0.1)","14 (0)","0 (0)","0 (0)"
"San.Juan","17,631","35 (0.2)","35 (0.2)","0 (0)","0 (0)","0 (0)"
"Total","264,387","68537","68537","36103","7155","11141"
