"ID","TimeStart","TimeEnd","Duration","LAeq","SEL","LAeq_Lmax","LAFmax","LCpeak","Onset","Threshold"
"AdmB",2019-06-24 16:04:42,2019-06-24 16:05:22,40,91.2,107.3,99.8,102.4,116,2.4,57.7
"AdmB",2019-06-24 16:06:12,2019-06-24 16:07:17,65,92.5,110.7,106.4,108.6,122.4,1.2,57.7
"AdmB",2019-06-24 16:07:36,2019-06-24 16:07:43,7,58.1,67.1,59.5,61.1,79.7,0.5,57.7
"AdmB",2019-06-24 16:07:47,2019-06-24 16:08:35,48,68.5,85.4,73.5,75.6,88.2,0.4,57.7
"AdmB",2019-06-24 16:08:41,2019-06-24 16:09:59,78,91.5,110.5,104.8,105.9,118.2,1.3,57.7
"AdmB",2019-06-24 16:10:19,2019-06-24 16:10:26,7,58,67,59.7,60.9,79.1,0.8,57.7
"AdmB",2019-06-24 16:11:28,2019-06-24 16:12:41,73,94.5,113.2,108.6,110.8,126.5,1.1,57.7
"AdmB",2019-06-24 16:13:31,2019-06-24 16:13:40,9,58.8,68.8,63.4,65,86.8,2.6,57.7
"AdmB",2019-06-24 16:14:28,2019-06-24 16:15:26,58,88.3,106,98.5,99.4,114.2,1.2,57.7
"AdmB",2019-06-24 16:15:29,2019-06-24 16:15:51,22,59,72.6,61.1,62,80.4,0.2,57.7
"AdmB",2019-06-24 16:16:07,2019-06-24 16:16:20,13,58.7,70.1,63,63.9,85.4,2.9,57.7
"AdmB",2019-06-24 16:17:22,2019-06-24 16:18:34,72,94.8,113.5,109.6,111.1,125.1,1.2,57.7
"AdmB",2019-06-24 16:18:41,2019-06-24 16:18:55,14,57.9,69.6,60,61.2,80,0.6,57.7
"AdmB",2019-06-24 16:19:08,2019-06-24 16:19:15,7,58.6,67.7,61.8,62.7,81.2,1.2,57.7
"AdmB",2019-06-24 16:20:21,2019-06-24 16:21:33,72,93.5,112.2,106,107.8,122.8,1.1,57.7
"AdmB",2019-06-24 16:22:00,2019-06-24 16:22:09,9,57.6,67.6,58.6,60,78.4,0,57.8
"AdmB",2019-06-24 16:23:10,2019-06-24 16:24:16,66,96.4,114.7,111.2,113.1,125.7,1.4,57.9
"AdmB",2019-06-24 16:24:43,2019-06-24 16:24:58,15,59.3,71.4,63,64.2,82.4,0.7,58.3
"AdmB",2019-06-24 16:25:59,2019-06-24 16:27:08,69,92.4,110.8,104.3,105.5,119.5,1.2,58.4
"AdmB",2019-06-24 16:29:01,2019-06-24 16:30:17,76,95.7,114.5,110,112.2,126.4,1,58.7
"AdmB",2019-06-24 16:31:59,2019-06-24 16:33:09,70,92,110.5,105.2,107.2,120.8,1.3,58.9
"AdmB",2019-06-24 16:33:54,2019-06-24 16:34:15,21,88.3,101.8,95.8,97.9,111.6,3.4,59.3
"AdmB",2019-06-24 16:35:00,2019-06-24 16:36:00,60,95,112.8,108.7,110,124.3,1.7,60
"AdmB",2019-06-24 16:36:33,2019-06-24 16:37:00,27,81.6,96.1,90.5,92.4,107.4,2.4,60.2
"AdmB",2019-06-24 16:37:47,2019-06-24 16:38:48,61,95.9,113.8,109.8,110.9,125,1.2,60.2
"AdmB",2019-06-24 16:38:48,2019-06-24 16:39:54,66,88.4,106.7,98.5,101.2,115.9,0.9,60.2
"AdmB",2019-06-24 16:40:19,2019-06-24 16:41:29,70,96.1,114.6,109.3,111.6,125,0.8,60.5
"AdmB",2019-06-24 16:41:29,2019-06-24 16:42:38,69,94,112.5,107.1,109.1,124.1,1.1,60.5
"AdmB",2019-06-24 16:43:23,2019-06-24 16:44:34,71,94.2,112.8,109.5,111.2,125.4,1.2,60.9
"AdmB",2019-06-24 16:44:34,2019-06-24 16:45:22,48,95.1,112,107.6,109.7,123.8,1.6,60.9
"AdmB",2019-06-24 16:45:30,2019-06-24 16:45:37,7,61.7,70.8,64.7,66.2,85.2,0.7,60.9
"AdmB",2019-06-24 16:46:12,2019-06-24 16:47:05,53,97,114.4,110,112.3,127.8,1.3,50
"AdmB",2019-06-24 16:47:05,2019-06-24 16:47:59,54,93.4,110.8,104.8,106.5,119.2,1.1,50
"AdmB",2019-06-24 16:47:59,2019-06-24 16:48:39,40,96,112.1,107.8,109.7,125.2,2.4,50
"AdmB",2019-06-24 16:48:39,2019-06-24 16:49:22,43,91.9,108.3,103,106.2,120,1.1,50
"AdmB",2019-06-24 16:49:22,2019-06-24 16:50:26,64,96.5,114.7,110.8,113.2,129.9,1.3,50
"AdmB",2019-06-24 16:50:26,2019-06-24 16:51:13,47,93.4,110.2,103.3,105.9,121.2,1.8,50
"AdmB",2019-06-24 16:51:13,2019-06-24 16:51:47,34,93.4,108.9,104.8,106.3,121.9,1.5,50
"AdmB",2019-06-24 16:51:47,2019-06-24 16:52:48,61,93.5,111.5,106.7,109.2,122.7,1,50
"AdmB",2019-06-24 16:52:48,2019-06-24 16:53:32,44,95.7,112.2,106.4,108.2,123.4,1.9,50
"AdmB",2019-06-24 16:53:32,2019-06-24 16:54:27,55,89.7,107.1,100,101.9,118,1,50
"AdmB",2019-06-24 16:54:27,2019-06-24 16:55:03,36,93.7,109.4,104.1,106.2,119.5,1.9,50
"AdmB",2019-06-24 16:55:03,2019-06-24 16:56:07,64,96.1,114.2,112.3,114.9,130.2,1.1,50
"AdmB",2019-06-24 16:56:07,2019-06-24 16:56:46,39,96.2,112.3,107.4,109.7,123.9,1.9,50
"AdmB",2019-06-24 16:56:46,2019-06-24 16:57:26,40,97.4,113.5,109.4,111.2,125,1.9,50
"AdmB",2019-06-24 16:57:26,2019-06-24 16:58:16,50,94.6,111.6,107.1,108.3,124.2,1.2,50
"AdmB",2019-06-24 16:58:16,2019-06-24 16:59:21,65,96.4,114.6,110,110.5,125.7,0.9,50
"AdmB",2019-06-24 16:59:21,2019-06-24 16:59:52,31,93,108.1,101.7,102.7,118.5,1.7,50
"AdmB",2019-06-24 16:59:52,2019-06-24 17:00:34,42,94,110.3,105.1,107.5,121.1,1.7,50
"AdmB",2019-06-24 17:00:34,2019-06-24 17:01:27,53,94.1,111.4,105.8,107.3,121.6,1.1,50
"AdmB",2019-06-24 17:01:27,2019-06-24 17:02:33,66,87.1,105.4,99.6,101.1,115,0.7,50
"AdmB",2019-06-24 17:02:33,2019-06-24 17:03:10,37,93.3,109.1,104.7,106.6,121.3,1.4,50
"AdmB",2019-06-24 17:03:10,2019-06-24 17:03:46,36,94.3,110,104.2,106.2,120.6,1.8,50
"AdmB",2019-06-24 17:03:46,2019-06-24 17:04:38,52,90.8,108.1,101.2,103.1,119,1,50
"AdmB",2019-06-24 17:04:38,2019-06-24 17:05:45,67,92.4,110.7,106,107.3,122.5,1.1,50
"AdmB",2019-06-24 17:05:45,2019-06-24 17:06:23,38,91,106.9,101.3,104.7,119.5,1.8,50
"AdmB",2019-06-24 17:06:23,2019-06-24 17:07:13,50,93.7,110.8,106.1,107.2,122.6,1.9,50
"AdmB",2019-06-24 17:07:13,2019-06-24 17:07:52,39,91.4,107.4,102.4,103.4,116.3,1.6,50
"AdmB",2019-06-24 17:07:52,2019-06-24 17:08:59,67,98.6,117,113.8,115.6,131.4,1.1,50
"AdmB",2019-06-24 17:08:59,2019-06-24 17:09:34,35,94.9,110.4,104.4,106.1,122,2.5,50
"AdmB",2019-06-24 17:09:34,2019-06-24 17:10:27,53,97.5,114.8,111,114.1,128.1,1.6,50
"AdmB",2019-06-24 17:10:27,2019-06-24 17:11:40,73,93.7,112.4,108.1,110.5,124.2,0.9,50
