"Time","Field"
2020-12-14 19:07:00,"Ault"
2020-12-14 19:07:00,"Ault"
2020-12-14 19:08:00,"Ault"
2020-12-14 19:08:00,"Ault"
2020-12-14 19:08:00,"Ault"
2020-12-14 19:10:00,"Ault"
2020-12-14 19:11:00,"Ault"
2020-12-14 19:14:00,"Ault"
2020-12-14 19:15:00,"Ault"
2020-12-14 19:17:00,"Ault"
2020-12-14 19:19:00,"Ault"
2020-12-14 19:19:00,"Ault"
2020-12-14 19:20:00,"Ault"
2020-12-14 19:20:00,"Ault"
2020-12-14 19:23:00,"Ault"
2020-12-14 19:24:00,"Ault"
2020-12-14 19:26:00,"Ault"
2020-12-14 19:27:00,"Ault"
2020-12-14 19:29:00,"Ault"
2020-12-14 19:30:00,"Ault"
2020-12-14 19:32:00,"Ault"
2020-12-14 19:34:00,"Ault"
2020-12-14 19:37:00,"Ault"
2020-12-14 19:40:00,"Ault"
2020-12-14 20:21:00,"Ault"
2020-12-14 20:26:00,"Ault"
2020-12-14 20:29:00,"Ault"
2020-12-14 20:29:00,"Ault"
2020-12-14 22:32:00,"Ault"
2020-12-15 09:00:00,"Ault"
2020-12-15 09:00:00,"Ault"
2020-12-15 09:04:00,"Ault"
2020-12-15 09:04:00,"Ault"
2020-12-15 09:24:00,"Ault"
2020-12-15 09:24:00,"Ault"
2020-12-15 09:34:00,"Ault"
2020-12-15 09:34:00,"Ault"
2020-12-15 09:49:00,"Ault"
2020-12-15 09:53:00,"Ault"
2020-12-15 09:53:00,"Ault"
2020-12-15 09:55:00,"Ault"
2020-12-15 10:01:00,"Ault"
2020-12-15 10:04:00,"Ault"
2020-12-15 10:04:00,"Ault"
2020-12-15 10:16:00,"Ault"
2020-12-15 10:19:00,"Ault"
2020-12-15 10:23:00,"Ault"
2020-12-15 10:23:00,"Ault"
2020-12-15 10:23:00,"Ault"
2020-12-15 10:26:00,"Ault"
2020-12-15 10:27:00,"Ault"
2020-12-15 10:29:00,"Ault"
2020-12-15 10:30:00,"Ault"
