Lat,Long
48.149722,124.80139
48.149722,124.50972
47.999722,124.11806
47.691389,123.72639
47.633056,123.66806
47.249722,123.66806
47.099722,124.24806
47.154167,124.25833
47.283333,124.33333
47.333333,124.375
47.616667,124.45
47.65,124.53333
47.691389,124.55139
47.725,124.53333
47.791667,124.55833
47.833333,124.61667
47.866667,124.68333
47.95,124.73333
48.05,124.75833
48.1,124.76667
