"Date","ID","LSeq24","OshaDose","OshaTWA","OshaAction","NioshDose","NioshTWA","NioshLimit"
2021-08-12,"24A_B",81.1541670421712,14.6,76.1199009345795,FALSE,125.6,85.9898963940118,TRUE
2021-08-13,"24A_B",43.6372104046748,0.3,48.0949840408936,FALSE,0,-Inf,FALSE
2021-08-14,"24A_B",42.412963089669,0.3,48.0949840408936,FALSE,0,-Inf,FALSE
2020-12-13,"25B_T",43.1622309190682,0.4,50.1702164559575,FALSE,0,-Inf,FALSE
2020-12-14,"25B_T",56.1887568928035,0.4,50.1702164559575,FALSE,0.4,61.0205999132796,FALSE
2020-12-15,"25B_T",83.0594616671245,20,78.3901082279787,FALSE,194.9,87.8981183911762,TRUE
2020-12-16,"25B_T",74.5578595078018,4.9,68.2441568892736,FALSE,27.5,79.3933269383026,FALSE
2020-12-17,"25B_T",62.6578868609251,3,64.7049840408936,FALSE,1.7,67.3044892137827,FALSE
2020-12-18,"25B_T",50.6783507093631,1,56.78,FALSE,0.1,55,FALSE
2020-12-19,"25B_T",48.7295700742284,0.7,54.2070784446368,FALSE,0.1,55,FALSE
2021-03-28,"25B_T",54.6134696551967,1.8,61.0200763097659,FALSE,0.3,59.7712125471966,FALSE
2021-03-29,"25B_T",54.7657155712292,1.6,60.1704329119149,FALSE,0.3,59.7712125471966,FALSE
2021-03-30,"25B_T",53.8312681177782,1.2,58.095200496851,FALSE,0.2,58.0102999566398,FALSE
2021-03-31,"25B_T",51.8186580769792,0.9,56.0199680817872,FALSE,0.1,55,FALSE
2021-04-01,"25B_T",57.6800666227007,1.3,58.6725990818166,FALSE,0.6,62.7815125038364,FALSE
2021-04-02,"25B_T",51.4563557670001,0.8,55.1703246839362,FALSE,0.1,55,FALSE
2021-04-03,"25B_T",52.2775844303166,1,56.78,FALSE,0.2,58.0102999566398,FALSE
2021-06-06,"25B_T",44.5392816091382,0.4,50.1702164559575,FALSE,0,-Inf,FALSE
2021-06-07,"25B_T",53.900041325091,0.8,55.1703246839362,FALSE,0.2,58.0102999566398,FALSE
2021-06-08,"25B_T",59.811286536467,1.5,59.7048758129149,FALSE,0.9,64.5424250943933,FALSE
2021-06-09,"25B_T",55.8671340476512,1.1,57.4675325004781,FALSE,0.4,61.0205999132796,FALSE
2021-06-10,"25B_T",50.1747127352349,0.6,53.0950922688723,FALSE,0.1,55,FALSE
2021-06-11,"25B_T",49.0813900049827,0.6,53.0950922688723,FALSE,0.1,55,FALSE
2021-06-12,"25B_T",52.8364928313254,0.8,55.1703246839362,FALSE,0.2,58.0102999566398,FALSE
2021-08-08,"25B_T",39.3367989839822,0.2,45.1701082279787,FALSE,0,-Inf,FALSE
2021-08-09,"25B_T",52.9288121749894,0.6,53.0950922688723,FALSE,0.2,58.0102999566398,FALSE
2021-08-10,"25B_T",52.287174711635,0.6,53.0950922688723,FALSE,0.2,58.0102999566398,FALSE
2021-08-11,"25B_T",41.7892878322717,0.1,40.17,FALSE,0,-Inf,FALSE
2021-08-12,"25B_T",46.8234326469881,0.3,48.0949840408936,FALSE,0,-Inf,FALSE
2021-08-13,"25B_T",46.5357880437566,0.3,48.0949840408936,FALSE,0,-Inf,FALSE
2021-08-14,"25B_T",38.7926128166141,0.1,40.17,FALSE,0,-Inf,FALSE
2020-12-13,"26B_SG",59.8135700943049,0.6,53.0950922688723,FALSE,0.9,64.5424250943933,FALSE
2020-12-14,"26B_SG",65.6573104637209,1,56.78,FALSE,3.5,70.4406804435028,FALSE
2020-12-15,"26B_SG",84.6747138929907,34.1,82.2390502350654,FALSE,281.9,89.500950758716,TRUE
2020-12-16,"26B_SG",84.8266764247726,36.5,82.729684478622,FALSE,292.5,89.661258704182,TRUE
2020-12-17,"26B_SG",67.4531583066676,4.3,67.3019110471769,FALSE,5.3,72.2427586960079,FALSE
2020-12-18,"26B_SG",50.5385581998436,0.9,56.0199680817872,FALSE,0.1,55,FALSE
2020-12-19,"26B_SG",49.054797491413,0.9,56.0199680817872,FALSE,0.1,55,FALSE
